epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.581,1.51327,1.67588,1.23293,0.74317,0.68437,0.72906,0.44194,1.37275,0.99632,1.22108,0.00332721,0.00332721,0.00332721
2,386.865,1.4337,0.98067,1.16615,0.72914,0.63426,0.68252,0.40192,1.48888,1.21865,1.3062,0.00662757,0.00662757,0.00662757
3,629.055,1.51155,1.05434,1.2104,0.58077,0.41947,0.45331,0.25752,1.69838,2.00002,1.48011,0.00989493,0.00989493,0.00989493
4,888.527,1.54876,1.11841,1.22999,0.67405,0.58172,0.62425,0.35341,1.55414,1.25091,1.35297,0.0098515,0.0098515,0.0098515
5,1111.34,1.51873,1.05078,1.22048,0.70752,0.6392,0.67904,0.38561,1.47485,1.14716,1.30895,0.009802,0.009802,0.009802
6,1340.73,1.48549,0.99862,1.20429,0.75241,0.65581,0.71347,0.42107,1.40727,1.01247,1.26675,0.0097525,0.0097525,0.0097525
7,1601.85,1.45078,0.95184,1.19177,0.76114,0.68681,0.73743,0.43614,1.41965,0.99934,1.27006,0.009703,0.009703,0.009703
8,1844.11,1.42497,0.92162,1.17904,0.76235,0.71271,0.75418,0.45022,1.36725,0.96933,1.22291,0.0096535,0.0096535,0.0096535
9,2080.8,1.40759,0.8912,1.16922,0.76598,0.71165,0.76406,0.46,1.34837,0.91985,1.22704,0.009604,0.009604,0.009604
10,2338.45,1.39425,0.88027,1.16163,0.7784,0.73676,0.78485,0.48354,1.31503,0.90075,1.20335,0.0095545,0.0095545,0.0095545
11,2584.94,1.37552,0.85462,1.15596,0.76967,0.71855,0.77283,0.46967,1.33709,0.93702,1.21509,0.009505,0.009505,0.009505
12,2818.2,1.3674,0.83473,1.1461,0.8091,0.75196,0.81122,0.50263,1.28877,0.82744,1.17807,0.0094555,0.0094555,0.0094555
13,3055.66,1.35425,0.83136,1.14313,0.81239,0.75919,0.8138,0.50372,1.28851,0.82345,1.18065,0.009406,0.009406,0.009406
14,3297.37,1.34129,0.81514,1.13692,0.80859,0.74843,0.80616,0.50298,1.28469,0.8388,1.1901,0.0093565,0.0093565,0.0093565
15,3554.03,1.33724,0.80277,1.13527,0.8161,0.77691,0.83024,0.51976,1.25905,0.78398,1.16108,0.009307,0.009307,0.009307
16,3803.18,1.32207,0.78133,1.12112,0.83714,0.76427,0.82973,0.51677,1.26482,0.8028,1.1655,0.0092575,0.0092575,0.0092575
17,4045.02,1.31736,0.78578,1.12682,0.81083,0.79212,0.8465,0.54049,1.22636,0.76231,1.14436,0.009208,0.009208,0.009208
18,4279.3,1.31636,0.77264,1.11704,0.844,0.78643,0.84358,0.53725,1.22728,0.74191,1.14118,0.0091585,0.0091585,0.0091585
19,4525.94,1.31322,0.76303,1.11897,0.84768,0.77937,0.84235,0.5449,1.19943,0.73645,1.13122,0.009109,0.009109,0.009109
20,4775.22,1.29296,0.75705,1.11019,0.85092,0.80577,0.86151,0.55333,1.19537,0.73161,1.12865,0.0090595,0.0090595,0.0090595
21,5014.85,1.27426,0.73731,1.10044,0.85988,0.80053,0.85886,0.55573,1.19976,0.71172,1.12482,0.00901,0.00901,0.00901
22,5252.28,1.29182,0.7549,1.11253,0.86,0.80725,0.86816,0.56403,1.17316,0.6981,1.11287,0.0089605,0.0089605,0.0089605
23,5490.56,1.28525,0.74073,1.10536,0.8695,0.79916,0.86496,0.56453,1.18491,0.69297,1.11441,0.008911,0.008911,0.008911
24,5735.66,1.27029,0.72627,1.09668,0.87797,0.81514,0.8796,0.57725,1.17183,0.68008,1.11813,0.0088615,0.0088615,0.0088615
25,5980.12,1.26163,0.72012,1.09379,0.8663,0.81823,0.87766,0.57404,1.16777,0.68456,1.10843,0.008812,0.008812,0.008812
